07137.png: ASM=0.04332437179982662, Contrast=1.41845703125, Entropy=3.6803177003544056, IDM=0.7367490669995255
09516.png: ASM=0.06035585608333349, Contrast=1.0546417236328125, Entropy=3.349034505164724, IDM=0.8362561752521489
04906.png: ASM=0.02775050699710846, Contrast=3.3347930908203125, Entropy=4.23892296698055, IDM=0.6878917587949864
10190.png: ASM=0.05611753882840276, Contrast=1.6261138916015625, Entropy=3.585278588654781, IDM=0.8170868180482662
10053.png: ASM=0.049075777642428875, Contrast=0.6843109130859375, Entropy=3.4365481002041296, IDM=0.8431540380511171
15765.png: ASM=0.08063410641625524, Contrast=0.7099456787109375, Entropy=3.257335288348431, IDM=0.8280142545901032
07945.png: ASM=0.05112750921398401, Contrast=0.8559722900390625, Entropy=3.4878400538970555, IDM=0.8307773331359243
13311.png: ASM=0.038449644576758146, Contrast=2.645416259765625, Entropy=4.005722351517604, IDM=0.7309215329240547
05137.png: ASM=0.05560680711641908, Contrast=1.3634796142578125, Entropy=3.553997512390829, IDM=0.811468489823554
07007.png: ASM=0.10237114038318396, Contrast=0.742401123046875, Entropy=2.9635701063150606, IDM=0.9126865790079824
05547.png: ASM=0.13691676827147603, Contrast=0.5639190673828125, Entropy=2.6849582062903985, IDM=0.8934751346527564
11343.png: ASM=0.08135804301127791, Contrast=1.0389404296875, Entropy=3.1300116612823956, IDM=0.8757554505141663
15604.png: ASM=0.06371346721425653, Contrast=0.7173919677734375, Entropy=3.3431728188835983, IDM=0.8828528447114291
00586.png: ASM=0.03389258775860071, Contrast=2.1747589111328125, Entropy=4.015335753353815, IDM=0.7305485117592385
14898.png: ASM=0.03542134305462241, Contrast=2.0396881103515625, Entropy=3.8902745600097632, IDM=0.7833636312060646
17753.png: ASM=0.05238115368410945, Contrast=0.902984619140625, Entropy=3.4802962931886188, IDM=0.8317808972091065
04787.png: ASM=0.06316096289083362, Contrast=0.7505035400390625, Entropy=3.3683327796145024, IDM=0.8392014246343652
12467.png: ASM=0.10898009315133095, Contrast=0.259063720703125, Entropy=2.8328592195463895, IDM=0.9262243653454284
08064.png: ASM=0.0809010723605752, Contrast=1.6891021728515625, Entropy=3.425157434943564, IDM=0.8231685444898922
19070.png: ASM=0.06557458313181996, Contrast=1.7800140380859375, Entropy=3.5944020092366533, IDM=0.7911161390406322
08834.png: ASM=0.028791756369173527, Contrast=2.302093505859375, Entropy=4.067345224127291, IDM=0.7163705789519591
16281.png: ASM=0.0629178648814559, Contrast=2.08941650390625, Entropy=3.774945891859578, IDM=0.7653653734276126
11671.png: ASM=0.03879990801215172, Contrast=1.8072052001953125, Entropy=3.7999450542702027, IDM=0.7345137406285897
08323.png: ASM=0.06768157240003347, Contrast=0.61370849609375, Entropy=3.2014097493669365, IDM=0.9029180676188767
19365.png: ASM=0.02761284029111266, Contrast=2.020751953125, Entropy=4.067941945259078, IDM=0.6690129641339989
10535.png: ASM=0.07784481532871723, Contrast=0.3392181396484375, Entropy=3.0488626972018515, IDM=0.9108974826342477
08265.png: ASM=0.05490266717970371, Contrast=0.6248779296875, Entropy=3.331161041002644, IDM=0.8500457525208964
01222.png: ASM=0.06769630080088973, Contrast=1.061981201171875, Entropy=3.3535182842319484, IDM=0.8440836887628237
14059.png: ASM=0.055353480856865644, Contrast=1.3671722412109375, Entropy=3.485421222018341, IDM=0.864815968232371
14022.png: ASM=0.05587725667282939, Contrast=0.8729705810546875, Entropy=3.4175245938793353, IDM=0.8499073969339616
08024.png: ASM=0.0725128035992384, Contrast=0.79345703125, Entropy=3.2737263783298727, IDM=0.8628776690624667
06884.png: ASM=0.0438037677668035, Contrast=0.972381591796875, Entropy=3.5938098677211014, IDM=0.821441113035479
12247.png: ASM=0.019756981637328863, Contrast=3.0821380615234375, Entropy=4.347132780651602, IDM=0.6580370119531296
04827.png: ASM=0.06777320941910148, Contrast=0.902374267578125, Entropy=3.3793722140312172, IDM=0.8514257071196127
11939.png: ASM=0.06903642462566495, Contrast=0.993927001953125, Entropy=3.2420781047125997, IDM=0.8796147755512288
08850.png: ASM=0.0597689445130527, Contrast=1.824066162109375, Entropy=3.7044473222601204, IDM=0.7873308194192333
14749.png: ASM=0.03927435912191868, Contrast=1.4689788818359375, Entropy=3.7720836471230137, IDM=0.7690937328713775
00666.png: ASM=0.031858022790402174, Contrast=2.547882080078125, Entropy=4.0216378984226315, IDM=0.7595006740463925
05565.png: ASM=0.04911242425441742, Contrast=1.686004638671875, Entropy=3.7846855631855454, IDM=0.755984741633589
04459.png: ASM=0.03665284998714924, Contrast=1.222808837890625, Entropy=3.767471757775956, IDM=0.798325768060417
19543.png: ASM=0.08281983621418476, Contrast=0.7406768798828125, Entropy=3.275213934871761, IDM=0.8618665510273924
00412.png: ASM=0.026710628997534513, Contrast=1.91400146484375, Entropy=4.041078837900942, IDM=0.6737381175693646
18446.png: ASM=0.0476675215177238, Contrast=1.2885284423828125, Entropy=3.720517558083089, IDM=0.8088077642764376
00331.png: ASM=0.05733297439292073, Contrast=0.465911865234375, Entropy=3.319197241934111, IDM=0.8713210674049288
10974.png: ASM=0.10966289322823286, Contrast=0.4759063720703125, Entropy=2.822701632865126, IDM=0.9287223903986787
19961.png: ASM=0.06084168516099453, Contrast=1.55316162109375, Entropy=3.4982015167111067, IDM=0.7479252717274287
09163.png: ASM=0.03517581522464752, Contrast=2.0741424560546875, Entropy=3.944023226944787, IDM=0.724075762843132
01983.png: ASM=0.06886383006349206, Contrast=1.6055145263671875, Entropy=3.532830531338286, IDM=0.7748345385811362
10018.png: ASM=0.0305045573040843, Contrast=1.2590179443359375, Entropy=3.8976789904288203, IDM=0.7337175758572159
17504.png: ASM=0.040543554816395044, Contrast=1.237396240234375, Entropy=3.7598591930821854, IDM=0.7880282733833791
19471.png: ASM=0.17336395708844066, Contrast=0.3065185546875, Entropy=2.555922567585239, IDM=0.9052684891514025
15957.png: ASM=0.04298653919249773, Contrast=1.8457489013671875, Entropy=3.7711911672967, IDM=0.7581333266498125
10020.png: ASM=0.05700478842481971, Contrast=1.3620758056640625, Entropy=3.585849228651839, IDM=0.7738398476592957
14058.png: ASM=0.03835411323234439, Contrast=1.9341888427734375, Entropy=3.8848573754077225, IDM=0.7647558670794701
09967.png: ASM=0.021517319604754448, Contrast=2.8922882080078125, Entropy=4.3139822318278505, IDM=0.6638144728910538
03743.png: ASM=0.047540145460516214, Contrast=2.5864715576171875, Entropy=3.81382098339796, IDM=0.7824907923617511
07068.png: ASM=0.04844343662261963, Contrast=0.85284423828125, Entropy=3.4738197052226965, IDM=0.8404679415797216
12270.png: ASM=0.026682814117521048, Contrast=2.02813720703125, Entropy=4.135318597237821, IDM=0.6855600704785234
02632.png: ASM=0.04705158295109868, Contrast=1.5079803466796875, Entropy=3.728552351008717, IDM=0.8010364430936897
15071.png: ASM=0.12288271775469184, Contrast=0.24725341796875, Entropy=2.7744630137673294, IDM=0.9224168223012146
19759.png: ASM=0.054636551067233086, Contrast=1.1984405517578125, Entropy=3.470777047964658, IDM=0.805104490253369
06769.png: ASM=0.08426612662151456, Contrast=1.0128631591796875, Entropy=3.236586100737709, IDM=0.8716389814326684
13945.png: ASM=0.09752470022067428, Contrast=0.301788330078125, Entropy=2.7396639611761504, IDM=0.9440350399072771
08255.png: ASM=0.06489923968911171, Contrast=0.905853271484375, Entropy=3.4648448661675864, IDM=0.8460471025914765
02247.png: ASM=0.07572926161810756, Contrast=1.292510986328125, Entropy=3.397278816851988, IDM=0.8456644417997805
02646.png: ASM=0.07904728967696428, Contrast=0.6955413818359375, Entropy=3.1270515998301174, IDM=0.8818033813449319
09797.png: ASM=0.05517549766227603, Contrast=1.3062744140625, Entropy=3.4982084104047693, IDM=0.8179120809167976
18730.png: ASM=0.03699144581332803, Contrast=1.3922576904296875, Entropy=3.836068500944027, IDM=0.781506415887503
05951.png: ASM=0.3274373188614845, Contrast=1.1751251220703125, Entropy=2.31931762407239, IDM=0.871775186433199
00236.png: ASM=0.05319244880229235, Contrast=3.3231048583984375, Entropy=4.02065633500083, IDM=0.6897845153635113
12373.png: ASM=0.08309567579999566, Contrast=0.7078857421875, Entropy=3.0477256318813826, IDM=0.8186454651832688
15169.png: ASM=0.07238307874649763, Contrast=0.986663818359375, Entropy=3.353846395691992, IDM=0.8454044823909769
13194.png: ASM=0.07480671489611268, Contrast=1.87744140625, Entropy=3.5883036674123234, IDM=0.7927278112933299
11074.png: ASM=0.03599709179252386, Contrast=3.87335205078125, Entropy=4.044386154428762, IDM=0.687712868870891
10522.png: ASM=0.050389745738357306, Contrast=2.47222900390625, Entropy=3.569508668197871, IDM=0.8141613630854962
02125.png: ASM=0.0781567795202136, Contrast=0.297576904296875, Entropy=3.008613274692462, IDM=0.9054621940763009
00283.png: ASM=0.07465741224586964, Contrast=3.341156005859375, Entropy=3.72064174526754, IDM=0.7673572698588804
09515.png: ASM=0.05637266580015421, Contrast=0.7151947021484375, Entropy=3.3898230564050866, IDM=0.8205332043491567
07301.png: ASM=0.05134349828585982, Contrast=1.0074462890625, Entropy=3.6383194525913494, IDM=0.8091469825585764
19554.png: ASM=0.06049383291974664, Contrast=2.0873565673828125, Entropy=3.79744838348468, IDM=0.721087760296448
06913.png: ASM=0.053448043297976255, Contrast=0.705718994140625, Entropy=3.4216965722223667, IDM=0.8422283934807839
08130.png: ASM=0.06155032338574529, Contrast=0.7638092041015625, Entropy=3.3070343601957557, IDM=0.8667888965750669
13353.png: ASM=0.02592093963176012, Contrast=2.5507354736328125, Entropy=4.164313196235937, IDM=0.7134903380758464
04060.png: ASM=0.037676417734473944, Contrast=1.7269287109375, Entropy=3.8345290877211076, IDM=0.70006241116684
03296.png: ASM=0.03305226797237992, Contrast=1.2939300537109375, Entropy=3.864101553874805, IDM=0.7943537210009259
06713.png: ASM=0.10943921050056815, Contrast=1.5687103271484375, Entropy=3.1884427607474324, IDM=0.8284222743563171
05838.png: ASM=0.08226570812985301, Contrast=1.090423583984375, Entropy=3.3551773591573704, IDM=0.8416132240780557
00136.png: ASM=0.020641894545406103, Contrast=2.3511810302734375, Entropy=4.217888699371452, IDM=0.6166439489712796
04343.png: ASM=0.04281623009592295, Contrast=1.0733642578125, Entropy=3.660136807502742, IDM=0.8111222202002856
11819.png: ASM=0.048170209396630526, Contrast=2.217529296875, Entropy=3.605915643761588, IDM=0.8386802310917268
07436.png: ASM=0.02777295606210828, Contrast=1.361083984375, Entropy=3.898349509292367, IDM=0.6880568855627579
01211.png: ASM=0.07365288119763136, Contrast=0.85565185546875, Entropy=3.25325945316494, IDM=0.8337896790248683
03146.png: ASM=0.09338507615029812, Contrast=1.318450927734375, Entropy=3.0497646434434906, IDM=0.8508718659555374
00459.png: ASM=0.06088929856196046, Contrast=0.643341064453125, Entropy=3.179680839024334, IDM=0.9253611676143347
15750.png: ASM=0.045110865496098995, Contrast=1.8328857421875, Entropy=3.700275142960246, IDM=0.8174888320146736
15704.png: ASM=0.041139245964586735, Contrast=1.3101348876953125, Entropy=3.762124917898681, IDM=0.7742145724157353
13730.png: ASM=0.06075391825288534, Contrast=0.4853363037109375, Entropy=3.2368062134327658, IDM=0.8729619662301292
17385.png: ASM=0.03004724532365799, Contrast=3.98907470703125, Entropy=4.2808339219570435, IDM=0.6370614021936509
00210.png: ASM=0.05655717523768544, Contrast=1.8889617919921875, Entropy=3.4760859703479006, IDM=0.8533326698414169
13297.png: ASM=0.05781080015003681, Contrast=1.108734130859375, Entropy=3.4407587688508103, IDM=0.8352848884859039
05702.png: ASM=0.07637574756518006, Contrast=0.6280059814453125, Entropy=3.1464096964585555, IDM=0.8940792207095143
05725.png: ASM=0.252364712767303, Contrast=0.634735107421875, Entropy=2.4301696515376467, IDM=0.8820835116963958
04002.png: ASM=0.0657754810526967, Contrast=0.601654052734375, Entropy=3.262764806096548, IDM=0.8525444854236675
06244.png: ASM=0.049185910262167454, Contrast=0.8162841796875, Entropy=3.4792127217171194, IDM=0.8586283033311379
06335.png: ASM=0.05308656953275204, Contrast=1.543365478515625, Entropy=3.5184628180233988, IDM=0.800439830630832
17449.png: ASM=0.11588861513882875, Contrast=0.755462646484375, Entropy=3.1543138236903165, IDM=0.872135614327844
16994.png: ASM=0.05674073100090027, Contrast=1.3072662353515625, Entropy=3.4722516271559374, IDM=0.8649095244344018
15639.png: ASM=0.36089351307600737, Contrast=0.2394561767578125, Entropy=1.8084265290791268, IDM=0.9313623334621763
13682.png: ASM=0.040534814819693565, Contrast=2.923583984375, Entropy=3.9488898317149617, IDM=0.7317611326235673
16516.png: ASM=0.0720901801250875, Contrast=1.3599853515625, Entropy=3.508902612758992, IDM=0.8019612608144495
06885.png: ASM=0.08403089642524719, Contrast=1.8014678955078125, Entropy=3.1874101702798687, IDM=0.8717024178639899
19225.png: ASM=0.058021113742142916, Contrast=0.908416748046875, Entropy=3.4737595496643494, IDM=0.853690924950592
08597.png: ASM=0.061007716692984104, Contrast=1.563995361328125, Entropy=3.4314124854253674, IDM=0.8466792991095272
08234.png: ASM=0.055558384861797094, Contrast=1.1663360595703125, Entropy=3.5112822283261784, IDM=0.8216917666226531
16130.png: ASM=0.03383878758177161, Contrast=2.9852752685546875, Entropy=3.9507784958863628, IDM=0.7764425030467238
09387.png: ASM=0.05561806680634618, Contrast=0.5498809814453125, Entropy=3.3249605654985332, IDM=0.8690589362320925
01049.png: ASM=0.03641494968906045, Contrast=2.4553375244140625, Entropy=3.946366169449268, IDM=0.7305504005288762
12363.png: ASM=0.04489604476839304, Contrast=1.392791748046875, Entropy=3.6208868798883875, IDM=0.8197796146064468
09501.png: ASM=0.05196955520659685, Contrast=1.44781494140625, Entropy=3.6532731504152873, IDM=0.7290830299036777
07637.png: ASM=0.06243258295580745, Contrast=0.6638946533203125, Entropy=3.28893715153443, IDM=0.8643839518665075
06706.png: ASM=0.048189929220825434, Contrast=1.0912628173828125, Entropy=3.5399730011676294, IDM=0.8459691473636027
05374.png: ASM=0.08427845872938633, Contrast=0.47296142578125, Entropy=3.015869438188439, IDM=0.92034462526522
04762.png: ASM=0.032207476906478405, Contrast=2.1513671875, Entropy=4.046966258636721, IDM=0.7337268363737254
03507.png: ASM=0.06701088650152087, Contrast=1.2401123046875, Entropy=3.6088729074872794, IDM=0.8060489126163941
11806.png: ASM=0.08359917439520359, Contrast=1.241912841796875, Entropy=3.33564824027143, IDM=0.7948862314930113
00534.png: ASM=0.03046285454183817, Contrast=4.311126708984375, Entropy=4.189020980299498, IDM=0.687144189424734
13732.png: ASM=0.050374481827020645, Contrast=2.49285888671875, Entropy=3.9018395194320195, IDM=0.7116249264284344
14916.png: ASM=0.07321132766082883, Contrast=1.6331939697265625, Entropy=3.3683444337112216, IDM=0.8377242092873557
18332.png: ASM=0.10398315917700529, Contrast=0.4354095458984375, Entropy=2.95783106433165, IDM=0.8811451283973198
14792.png: ASM=0.08798302477225661, Contrast=0.853790283203125, Entropy=3.2787528677999265, IDM=0.8453327764692592
17189.png: ASM=0.09273920394480228, Contrast=0.2717132568359375, Entropy=2.8798964989897047, IDM=0.9052435469560318
06669.png: ASM=0.026910236570984125, Contrast=1.4019012451171875, Entropy=4.033271835252794, IDM=0.7306075217468203
06570.png: ASM=0.048248015344142914, Contrast=1.12567138671875, Entropy=3.5628250226566514, IDM=0.8454657272791501
13170.png: ASM=0.05941582890227437, Contrast=1.8167877197265625, Entropy=3.4133087397591875, IDM=0.8722210876993665
12049.png: ASM=0.12203324260190129, Contrast=1.4073333740234375, Entropy=3.294824068819899, IDM=0.7848695734520583
07757.png: ASM=0.03348212596029043, Contrast=1.3506927490234375, Entropy=3.860724330736438, IDM=0.7523613753641784
06259.png: ASM=0.034804755821824074, Contrast=2.4022979736328125, Entropy=3.996639407167587, IDM=0.7295872609715779
08944.png: ASM=0.03643505135551095, Contrast=2.1561126708984375, Entropy=3.9798035375836043, IDM=0.7518134549449484
19148.png: ASM=0.06514654867351055, Contrast=1.644744873046875, Entropy=3.466557693942558, IDM=0.7700966403476779
02609.png: ASM=0.03939816961064935, Contrast=1.3111419677734375, Entropy=3.7909268637304088, IDM=0.7854078011557738
07428.png: ASM=0.0652009379118681, Contrast=0.9398651123046875, Entropy=3.400674213347189, IDM=0.8350535086939773
08494.png: ASM=0.07783573307096958, Contrast=0.6139373779296875, Entropy=3.0614422374212436, IDM=0.8929453564400197
08136.png: ASM=0.02119437139481306, Contrast=2.4727020263671875, Entropy=4.219584640771997, IDM=0.6147427812944237
05773.png: ASM=0.04116638004779816, Contrast=0.858795166015625, Entropy=3.6274528945879707, IDM=0.8036175358324678
15305.png: ASM=0.06437671557068825, Contrast=0.997314453125, Entropy=3.38422948526941, IDM=0.845339633836101
06198.png: ASM=0.0719005293212831, Contrast=0.964813232421875, Entropy=3.222907726766386, IDM=0.8646096933939332
13857.png: ASM=0.04065845627337694, Contrast=2.584747314453125, Entropy=3.9256559063767154, IDM=0.7628674261789117
00765.png: ASM=0.048363777343183756, Contrast=1.22161865234375, Entropy=3.5838633770491963, IDM=0.7545435646657069
02887.png: ASM=0.04280890105292201, Contrast=1.4971160888671875, Entropy=3.832856251510328, IDM=0.7509020150137062
19567.png: ASM=0.03829593490809202, Contrast=1.884735107421875, Entropy=3.9157968395909237, IDM=0.6910280431601571
08190.png: ASM=0.042378006502985954, Contrast=2.1223297119140625, Entropy=3.8494930145412813, IDM=0.7067210643218829
09745.png: ASM=0.06270911451429129, Contrast=1.2595062255859375, Entropy=3.433654442437066, IDM=0.8602948076054969
09858.png: ASM=0.07974461885169148, Contrast=0.6357879638671875, Entropy=3.0767290116436015, IDM=0.9261425124046326
13606.png: ASM=0.0646526818163693, Contrast=0.782501220703125, Entropy=3.2918200774077886, IDM=0.8775386075902109
09959.png: ASM=0.05592644214630127, Contrast=1.77410888671875, Entropy=3.445518128898952, IDM=0.8761253318444675
04569.png: ASM=0.04255913104861975, Contrast=1.64935302734375, Entropy=3.8284450135754198, IDM=0.7681311296600262
19146.png: ASM=0.03887457586824894, Contrast=1.952484130859375, Entropy=3.777040209935093, IDM=0.7927341756006836
14115.png: ASM=0.08387490781024098, Contrast=1.1128997802734375, Entropy=3.2837192657498298, IDM=0.8348079041010593
04693.png: ASM=0.06598649173974991, Contrast=0.4084930419921875, Entropy=3.1245763462416805, IDM=0.9100032298805595
14811.png: ASM=0.04365985607728362, Contrast=1.143707275390625, Entropy=3.7023148027425714, IDM=0.8108154807820966
16171.png: ASM=0.05791137553751469, Contrast=1.29083251953125, Entropy=3.4886000316185535, IDM=0.8216252626794814
19991.png: ASM=0.1755014918744564, Contrast=0.79779052734375, Entropy=2.9258300187173174, IDM=0.8531236628145529
19468.png: ASM=0.07759374426677823, Contrast=0.8044281005859375, Entropy=3.2973857384734533, IDM=0.8683503628845218
02623.png: ASM=0.047760238870978355, Contrast=1.0896148681640625, Entropy=3.605258207244485, IDM=0.8271040629923165
15735.png: ASM=0.04333395091816783, Contrast=1.7385101318359375, Entropy=3.7186327754004096, IDM=0.7715284245185298
03789.png: ASM=0.09944340446963906, Contrast=0.444854736328125, Entropy=2.8758737884083896, IDM=0.8933220118100785
03145.png: ASM=0.05780717637389898, Contrast=1.1727752685546875, Entropy=3.548248132279655, IDM=0.8076570763682727
15958.png: ASM=0.09032661328092217, Contrast=0.863250732421875, Entropy=3.1503451356649634, IDM=0.8816683394332974
01933.png: ASM=0.07974229101091623, Contrast=1.1217498779296875, Entropy=3.198933368863913, IDM=0.895677279495547
13702.png: ASM=0.09972735121846199, Contrast=0.61895751953125, Entropy=3.0110550573756436, IDM=0.8779231099579494
00300.png: ASM=0.04705376084893942, Contrast=0.795074462890625, Entropy=3.489335468705457, IDM=0.8558958381056703
19653.png: ASM=0.05875659454613924, Contrast=0.5642852783203125, Entropy=3.3078818963588326, IDM=0.8756060492058246
15286.png: ASM=0.050606859382241964, Contrast=1.51007080078125, Entropy=3.6489061757840013, IDM=0.7957802567670529
01239.png: ASM=0.04140563169494271, Contrast=1.121612548828125, Entropy=3.7576228522195536, IDM=0.7926756565608482
11976.png: ASM=0.04872937500476837, Contrast=0.70574951171875, Entropy=3.5663597940563667, IDM=0.827513365593257
18507.png: ASM=0.05762040754780173, Contrast=0.485015869140625, Entropy=3.302698095903578, IDM=0.8907250235726772
09295.png: ASM=0.06365841208025813, Contrast=1.037994384765625, Entropy=3.2699764804655906, IDM=0.877475296633545
11156.png: ASM=0.057640557643026114, Contrast=1.53118896484375, Entropy=3.6219359043868606, IDM=0.7968424096388615
06625.png: ASM=0.07036076905205846, Contrast=0.66400146484375, Entropy=3.13880876959486, IDM=0.9198477224525791
13376.png: ASM=0.03774173837155104, Contrast=0.9394378662109375, Entropy=3.7186130086164266, IDM=0.8008298506509595
01379.png: ASM=0.03752799378708005, Contrast=2.646087646484375, Entropy=3.8958650391366403, IDM=0.7647161618531916
01991.png: ASM=0.09796386258676648, Contrast=1.062835693359375, Entropy=3.2627891516498453, IDM=0.8346499908015669
01771.png: ASM=0.0502996020950377, Contrast=1.671905517578125, Entropy=3.713171876914408, IDM=0.7945954933109832
07456.png: ASM=0.03676886251196265, Contrast=1.9113006591796875, Entropy=3.836882790843536, IDM=0.7634988570137203
04296.png: ASM=0.04175607627257705, Contrast=1.272125244140625, Entropy=3.719294699721538, IDM=0.8073342314675555
15437.png: ASM=0.050132126081734896, Contrast=0.599761962890625, Entropy=3.4096088735314884, IDM=0.8282861022837253
17970.png: ASM=0.07599197933450341, Contrast=0.401641845703125, Entropy=3.050632016946968, IDM=0.9053712630373243
01176.png: ASM=0.039568586740642786, Contrast=2.052337646484375, Entropy=3.8911135979378173, IDM=0.7703374233017747
10180.png: ASM=0.07508712401613593, Contrast=0.74237060546875, Entropy=3.317144797718585, IDM=0.8623247289295329
05327.png: ASM=0.03795035742223263, Contrast=1.06884765625, Entropy=3.6812113776158872, IDM=0.797156917051349
19880.png: ASM=0.04034828394651413, Contrast=4.933380126953125, Entropy=4.0163320552908495, IDM=0.7326074183144426
16536.png: ASM=0.05769256642088294, Contrast=0.688568115234375, Entropy=3.369845199813261, IDM=0.8796798085076777
07285.png: ASM=0.057711880188435316, Contrast=2.2878875732421875, Entropy=3.6425233658405634, IDM=0.8049105121718186
12536.png: ASM=0.06049469579011202, Contrast=1.1735687255859375, Entropy=3.3481859368461846, IDM=0.8491626503889993
03280.png: ASM=0.15817476389929652, Contrast=0.4469757080078125, Entropy=2.656614970835669, IDM=0.8823443005256139
03680.png: ASM=0.04908143728971481, Contrast=1.161651611328125, Entropy=3.543597792960282, IDM=0.795446103803342
02063.png: ASM=0.18518740125000477, Contrast=1.278106689453125, Entropy=2.8053484315059714, IDM=0.8630661638928078
01442.png: ASM=0.040942059364169836, Contrast=2.54473876953125, Entropy=3.9343286138943885, IDM=0.7726069226016596
03794.png: ASM=0.08358544344082475, Contrast=1.011474609375, Entropy=3.2438331239091496, IDM=0.8665081918616493
18013.png: ASM=0.0357750435359776, Contrast=1.6211395263671875, Entropy=3.83990119592759, IDM=0.773435456237841
06009.png: ASM=0.05034465715289116, Contrast=1.261871337890625, Entropy=3.712909044284313, IDM=0.7854037679296186
15814.png: ASM=0.11674629198387265, Contrast=2.00897216796875, Entropy=3.2364424260645244, IDM=0.8116077029571904
15512.png: ASM=0.1075391061604023, Contrast=1.008758544921875, Entropy=3.011005460208003, IDM=0.8902230505240802
08178.png: ASM=0.053057939279824495, Contrast=1.33221435546875, Entropy=3.617209833708394, IDM=0.8215224267761086
05239.png: ASM=0.08787626540288329, Contrast=1.14453125, Entropy=3.3684338692460662, IDM=0.8367141165389163
02753.png: ASM=0.036677573807537556, Contrast=2.2965545654296875, Entropy=3.9074254989747432, IDM=0.7593792800953593
07524.png: ASM=0.03579254820942879, Contrast=2.961151123046875, Entropy=4.005648238893481, IDM=0.6966378625269206
10077.png: ASM=0.040874232072383165, Contrast=0.9921875, Entropy=3.670803605677318, IDM=0.8196850000811872
14951.png: ASM=0.04970566229894757, Contrast=1.1414794921875, Entropy=3.6149271729578376, IDM=0.8243205600512936
13235.png: ASM=0.08236980205401778, Contrast=0.209014892578125, Entropy=2.907806243215372, IDM=0.9329220042490983
16693.png: ASM=0.12021003803238273, Contrast=0.2272186279296875, Entropy=2.696048952642575, IDM=0.9271779082164266
16479.png: ASM=0.06395925395190716, Contrast=1.683868408203125, Entropy=3.4952680982558855, IDM=0.8320623862923303
03182.png: ASM=0.08475755341351032, Contrast=0.81146240234375, Entropy=3.0147975603915396, IDM=0.9144874716778852
17547.png: ASM=0.3132301210425794, Contrast=0.4907379150390625, Entropy=2.0356841958708443, IDM=0.9411727351225156
03942.png: ASM=0.041302344761788845, Contrast=1.0489044189453125, Entropy=3.6889513143978996, IDM=0.7619853558442474
06707.png: ASM=0.048775550443679094, Contrast=1.64117431640625, Entropy=3.7050606251809577, IDM=0.7813627690973566
02141.png: ASM=0.04395436914637685, Contrast=1.3420257568359375, Entropy=3.7158841842611383, IDM=0.7858344499839754
