Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
07137.png,0.000325932,8.64132,0.0843201,5.48888e+08,-0.287326,0.96989,338.52,3.29411,281.716,151.912,5.71661,29567.7
09516.png,0.00102884,7.89456,0.225967,1.79943e+09,-0.481822,0.996391,83.257,2.46077,67.8167,221.233,5.87816,64849
04906.png,0.00535897,6.36562,0.583466,1.49015e+08,-0.658144,0.998963,74.8386,1.50443,70.1059,113.437,5.35274,20395.6
10190.png,0.000651299,8.42911,0.177338,1.68099e+09,-0.408272,0.992791,271.886,2.9341,234.256,180.65,5.97563,46490.4
10053.png,0.000563089,9.11979,0.09198,3.4358e+09,-0.279624,0.971624,515.992,3.6407,425.896,307.876,5.98419,106395
15765.png,0.00120649,8.0875,0.194092,1.15982e+09,-0.385775,0.98864,200.997,2.84759,170.342,304.539,5.68095,99927.3
07945.png,0.000462425,8.36088,0.178116,6.05788e+09,-0.452742,0.995917,161.197,2.65557,137.471,250.327,6.08546,77448.3
13311.png,0.0141406,6.83939,0.477676,5.61469e+08,-0.627325,0.99896,202.171,1.93562,190.109,317.071,5.53396,120789
05137.png,0.026599,6.93157,0.377258,1.05404e+08,-0.499392,0.994678,343.991,2.48409,316.465,143.092,5.21892,49877.3
07007.png,0.00150919,8.89835,0.119644,1.80333e+09,-0.323759,0.982398,667.164,3.47905,584.263,241.945,5.97093,72047.1
05547.png,0.000339998,8.86823,0.140442,3.42455e+09,-0.346784,0.986767,528.169,3.34778,458.198,209.88,6.03384,56513.4
11343.png,0.000540821,8.37966,0.153809,1.94379e+09,-0.39384,0.991083,148.337,2.89562,117.924,228.158,5.89248,62298
15604.png,0.000559359,8.45425,0.182343,4.77475e+09,-0.436462,0.995146,184.947,2.82193,154.496,229.85,6.09304,72991.6
00586.png,0.000690437,8.15747,0.218338,4.38907e+09,-0.480302,0.996867,182.096,2.55592,159.335,252.04,6.05218,83064.6
14898.png,0.0101262,7.86576,0.242249,2.24038e+08,-0.411786,0.990832,525.61,3.04197,473.613,145.88,5.59558,45062.5
17753.png,0.000858512,8.31033,0.215393,4.91204e+09,-0.465208,0.996466,237.657,2.72247,208.864,236.138,6.08745,74810.8
04787.png,0.0561579,6.99726,0.373856,5.02651e+07,-0.448539,0.990595,547.477,2.87561,496.135,143.927,5.05066,45167.5
12467.png,0.000346267,8.58003,0.118835,1.48054e+09,-0.33969,0.983749,213.08,3.12036,170.099,212.241,5.84236,51946.6
