Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
07137.png,0.000880545,8.58186,0.156021,8.20523e+08,-0.329087,0.98143,335.394,3.32727,276.799,159.895,5.79563,40136.6
09516.png,0.000756986,8.12491,0.226746,8.7379e+08,-0.41065,0.991874,243.927,2.77784,213.86,178.776,5.78837,38540.5
04906.png,0.000403632,9.08767,0.108353,3.38252e+09,-0.313927,0.981396,821.997,3.59553,724.791,209.191,6.06925,61783.4
10190.png,0.00145598,8.07737,0.299744,1.20631e+09,-0.456055,0.995405,390.901,2.81851,352.111,186.53,5.88431,49023.1
10053.png,0.000669585,8.16514,0.239716,2.86325e+09,-0.442654,0.994764,147.987,2.66892,124.208,258.262,5.91802,76000.5
15765.png,0.0024652,8.08876,0.166641,3.30187e+08,-0.382937,0.988275,155.588,2.88071,126.037,148.356,5.68541,32729.4
07945.png,0.000934065,8.23222,0.228348,2.86204e+09,-0.427337,0.993815,195.031,2.79765,165.799,304.168,5.90628,102645
13311.png,0.000489879,8.85657,0.144379,2.49759e+09,-0.348282,0.986958,652.44,3.3853,577.094,186.762,6.04246,51268.7
05137.png,0.00475772,8.0375,0.241776,6.4672e+08,-0.42533,0.992944,322.851,2.9289,284.145,200.885,5.73269,60666.7
07007.png,0.0106949,6.74052,0.52861,6.81597e+08,-0.639558,0.999047,179.503,1.93652,167.913,300.974,5.48417,110127
05547.png,0.00175537,7.24074,0.277557,2.99273e+08,-0.459579,0.992869,121.451,2.30327,108.086,176.212,5.3708,41241
11343.png,0.00167739,7.6068,0.295761,5.63207e+08,-0.494317,0.996345,245.084,2.38486,225.085,161.445,5.72886,34806.1
15604.png,0.0020106,7.69636,0.371567,2.74469e+09,-0.551712,0.998458,166.448,2.29401,149.805,259.172,5.95917,93222.4
00586.png,0.000477909,8.882,0.119919,2.05817e+09,-0.336106,0.984873,523.03,3.38621,454.052,199.297,6.01505,60472.8
14898.png,0.000474886,8.59281,0.220291,3.64178e+09,-0.404319,0.992999,498.174,3.04526,445.727,204.49,6.05732,56049.3
17753.png,0.000718314,8.23639,0.208908,1.08851e+09,-0.429991,0.994034,202.215,2.7819,173.638,159.773,5.92118,40776.8
04787.png,0.00201624,7.8455,0.303772,1.61311e+09,-0.472511,0.995778,166.957,2.68217,141.882,274.143,5.74019,84878.9
12467.png,0.00267058,7.12197,0.398727,5.7283e+08,-0.578556,0.998364,49.7593,1.87822,43.6714,185.246,5.66504,46597.9
08064.png,0.00179182,8.07475,0.239197,6.12124e+08,-0.43569,0.993966,412.83,2.85885,374.037,146.967,5.83495,37418.4
19070.png,0.00214277,8.15137,0.248276,8.52203e+08,-0.408616,0.991742,402.23,2.98591,356.286,218.486,5.77525,58172.3
08834.png,0.000311006,8.99712,0.122299,4.15069e+09,-0.332446,0.984844,555.628,3.4424,481.893,229.617,6.06671,66963.9
16281.png,0.00322574,8.32797,0.249741,1.88318e+09,-0.421056,0.993601,515.844,3.12781,456.555,309.974,5.9346,119757
11671.png,0.000330845,8.76898,0.126862,9.64124e+08,-0.303409,0.976286,430.016,3.33547,365.775,160.179,5.8388,32943.2
08323.png,0.00260037,7.39768,0.405228,1.02307e+09,-0.576407,0.998645,138.746,2.10669,126.914,190.087,5.83553,51145.9
19365.png,0.000226304,9.14631,0.0891418,2.74254e+09,-0.266993,0.96709,482.927,3.61918,396.774,271.623,5.94456,81768.9
10535.png,0.00139804,7.45708,0.372406,7.53324e+08,-0.559094,0.998341,68.3624,2.03965,59.6593,147.818,5.84762,32592.7
08265.png,0.000715827,8.10329,0.187164,1.35176e+09,-0.431132,0.993708,127.373,2.67695,105.655,203.753,5.82923,49988.4
01222.png,0.000983264,8.0236,0.221512,8.60124e+08,-0.442986,0.994359,245.713,2.72876,217.556,175.83,5.80609,47706.6
14059.png,0.0024363,7.60415,0.42659,1.64499e+09,-0.562597,0.99859,336.253,2.36483,310.795,212.22,5.89647,63260.1
14022.png,0.00163268,7.74303,0.338089,2.08325e+09,-0.503892,0.997058,198.117,2.47033,174.916,285.98,5.81918,93428.4
08024.png,0.00173049,7.59365,0.362503,7.04831e+08,-0.511077,0.997058,182.29,2.38295,162.143,169.69,5.75908,45588.9
06884.png,0.00083963,8.3427,0.180328,1.96574e+09,-0.418253,0.993403,218.941,2.87403,186.946,202.919,5.95114,56766
12247.png,0.000126059,9.4159,0.0643768,1.30034e+10,-0.281264,0.974704,758.306,3.71614,655.346,243.899,6.15075,75136.8
04827.png,0.00532005,7.68398,0.337555,6.56478e+08,-0.498242,0.996697,208.794,2.6116,183.78,219.033,5.71519,65139.1
11939.png,0.00371916,7.55723,0.351105,5.14376e+08,-0.52664,0.997574,239.102,2.34108,220.095,161.217,5.76269,35477.9
08850.png,0.0186707,7.79222,0.315262,3.08273e+08,-0.447738,0.993962,445.889,2.94843,397.094,254.583,5.61869,92005.5
14749.png,0.000414022,8.64094,0.153549,1.57997e+09,-0.356464,0.987164,345.645,3.13003,295.666,177.974,5.93001,41366.5
00666.png,0.000506481,8.71705,0.212067,6.13145e+09,-0.396265,0.992649,629.145,3.18247,565.351,231.11,6.10986,71056.4
05565.png,0.0097776,8.20069,0.233032,4.31107e+08,-0.375374,0.987729,404.116,3.18153,347.799,228.489,5.67685,74606.3
04459.png,0.000759535,8.35638,0.272781,5.82819e+09,-0.455898,0.996083,286.06,2.90854,247.023,242.952,6.06983,77705.3
19543.png,0.0333618,7.20457,0.350662,1.81407e+08,-0.489539,0.994951,166.925,2.49689,145.936,262.673,5.34708,96900
00412.png,0.000246878,9.06359,0.0844269,1.60846e+09,-0.289797,0.974534,452.408,3.57114,371.99,177.933,5.96079,45777.4
18446.png,0.00650692,8.15571,0.26619,9.62486e+08,-0.443336,0.994781,308.323,2.88869,269.853,298.655,5.8827,106360
00331.png,0.00154294,7.80002,0.302322,1.40785e+09,-0.49753,0.996915,95.5672,2.41949,79.5188,207.173,5.85015,57079.5
10974.png,0.00302694,6.81145,0.430023,1.12198e+09,-0.626535,0.998922,93.4207,1.71192,87.0088,288.466,5.62705,94150.8
19961.png,0.00250705,8.121,0.215195,4.5912e+08,-0.364651,0.985531,368.997,3.2061,312.639,154.384,5.61484,39244.9
09163.png,0.000253181,8.97351,0.0757751,1.46878e+09,-0.305188,0.978349,498.194,3.42396,427.341,161.561,5.97461,38098.3
